id	gpdm	zwdm	name
0	688598.SH	dsz	廖寄乔
0	002429.SZ	dsz	顾伟
0	300725.SZ	dsz	杨民民
0	000909.SZ	dsz	章国经
0	300250.SZ	dsz	洪爱金
0	300739.SZ	dsz	张佩珂
0	300669.SZ	dsz	邹家春
0	000088.SZ	dsz	乔宏伟
0	300419.SZ	dsz	高慷
0	002529.SZ	dsz	李良光
0	002864.SZ	dsz	谢晓林
0	300495.SZ	dsz	王迎燕
0	000829.SZ	dsz	黄绍文
0	002501.SZ	dsz	刘健
0	002348.SZ	dsz	杨旭恩
0	000799.SZ	dsz	王浩
0	300127.SZ	dsz	戴炎
0	603028.SH	dsz	沈生泉
0	300842.SZ	dsz	史卫利
0	300458.SZ	dsz	张建辉
0	688159.SH	dsz	王慷
0	300745.SZ	dsz	吴壬华
0	688518.SH	dsz	韩金龙
0	002122.SZ	dsz	武剑飞
0	300407.SZ	dsz	孔祥洲
0	002174.SZ	dsz	林奇
0	300221.SZ	dsz	谭颂斌
0	002535.SZ	dsz	郭现生
0	300208.SZ	dsz	邱岳
0	300079.SZ	dsz	郑海涛
0	000921.SZ	dsz	汤业国
0	002080.SZ	dsz	薛忠民
0	300258.SZ	dsz	夏汉关
0	300624.SZ	dsz	吴太兵
0	002955.SZ	dsz	邢修青
0	688033.SH	dsz	吴佩芳
0	300487.SZ	dsz	高月静
0	002296.SZ	dsz	李海鹰
0	002975.SZ	dsz	王兆春
0	002752.SZ	dsz	林永贤
0	002890.SZ	dsz	柳秋杰
0	002425.SZ	dsz	郑合明
0	002606.SZ	dsz	应坚
0	002869.SZ	dsz	罗瑞发
0	300757.SZ	dsz	戴军
0	002957.SZ	dsz	潘利明
0	300557.SZ	dsz	何书平
0	002845.SZ	dsz	万锋
0	002873.SZ	dsz	董大伦
0	300632.SZ	dsz	林瑞梅
0	300546.SZ	dsz	高晶
0	002268.SZ	dsz	卿昱
0	300666.SZ	dsz	姚力军
0	002802.SZ	dsz	项洪伟
0	002084.SZ	dsz	唐台英
0	300100.SZ	dsz	邬建斌
0	300393.SZ	dsz	林建伟
0	002831.SZ	dsz	王华君
0	300309.SZ	dsz	姚庆
0	603501.SH	dsz	虞仁荣
0	000007.SZ	dsz	黄国铭
0	300160.SZ	dsz	卢秀强
0	688086.SH	dsz	郑穆
