id	gpdm	order	name	gdcg	gdcgbl
0	000040.SZ	4	鹏华资产-平安银行-鹏华资产锦富1号专项资产管理计划	15600000.0	1.05
0	000040.SZ	5	海富通基金-宁波银行-民生信托-中国民生信托·至信167号宝安定增集合资金信托计划	14207276.0	0.96
0	000040.SZ	6	江西省省属国有企业资产经营(控股)有限公司	9760713.0	0.66
0	000040.SZ	7	赵春来	4504200.0	0.3
0	000040.SZ	8	中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金	4495363.0	0.3
0	000040.SZ	9	王逑	4210000.0	0.28
0	000042.SZ	0	深圳市中洲置地有限公司	343435985.0	51.658
0	000042.SZ	1	南昌联泰投资有限公司	55188952.0	8.3
0	000042.SZ	2	深圳市资本运营集团有限公司	45046186.0	6.78
0	000045.SZ	0	深圳市投资控股有限公司	234069436.0	45.96
0	000045.SZ	1	深圳市深超科技投资有限公司	16129032.0	3.17
0	000045.SZ	2	吕强	6136146.0	1.2
0	000045.SZ	3	孙慧明	3224767.0	0.63
0	000045.SZ	4	李松强	2873078.0	0.56
0	000045.SZ	5	苏伟鹏	2365966.0	0.46
0	000045.SZ	6	李增卯	1432497.0	0.28
0	000045.SZ	7	邝国伟	1405100.0	0.28
0	000045.SZ	8	洪帆	1338900.0	0.26
0	000045.SZ	9	朱烨	1310045.0	0.26
0	000046.SZ	0	中国泛海控股集团有限公司	3558672908.0	68.49
0	000046.SZ	1	中国证券金融股份有限公司	163714285.0	3.15
0	000046.SZ	2	泛海能源控股股份有限公司	124000000.0	2.39
0	000046.SZ	3	黄木顺	113186100.0	2.18
0	000046.SZ	4	德邦创新资本-渤海银行-中融国际信托有限公司	64404522.0	1.24
0	000046.SZ	5	建信基金-兴业银行-华鑫信托-华鑫信托·慧智投资52号结构化集合资金信托计划	61476574.0	1.18
0	000046.SZ	6	林芝锦华投资管理有限公司	61111111.0	1.18
0	000046.SZ	7	陈克春	44139492.0	0.85
0	000046.SZ	8	香港中央结算有限公司(陆股通)	33606262.0	0.65
0	000046.SZ	9	润海投资有限公司	22682900.0	0.44
0	000048.SZ	0	京基集团有限公司	167637483.0	41.65
0	000048.SZ	1	深圳市京基时代实业有限公司	120141071.0	29.85
0	000048.SZ	2	王世忱	9933492.0	2.47
0	000048.SZ	3	卢诗玮	9060319.0	2.25
0	000048.SZ	4	高春雷	7561673.0	1.88
0	000048.SZ	5	季圣智	7299515.0	1.81
0	000048.SZ	6	深圳宝达金融服务有限公司	4892500.0	1.22
0	000048.SZ	7	罗豫西	3448253.0	0.86
0	000048.SZ	8	深圳市吴川联合企业家投资有限公司	3081305.0	0.77
0	000048.SZ	9	梁留生	1907127.0	0.47
0	000049.SZ	0	广东德赛集团有限公司	92827039.0	44.8
0	000049.SZ	1	中央汇金资产管理有限责任公司	7027900.0	3.39
0	000049.SZ	2	香港中央结算有限公司(陆股通)	4102149.0	1.98
0	000049.SZ	3	中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金	2665200.0	1.29
0	000049.SZ	4	张勇	1837200.0	0.89
0	000049.SZ	5	中国工商银行股份有限公司-嘉实智能汽车股票型证券投资基金	1266023.0	0.61
0	000049.SZ	6	中国太平洋人寿保险股份有限公司-分红-个人分红	832432.0	0.4
0	000049.SZ	7	金思思	775024.0	0.37
0	000049.SZ	8	谢声通	717600.0	0.35
0	000049.SZ	9	太平洋资管-建设银行-太平洋成长精选股票型产品	699650.0	0.34
0	000050.SZ	0	厦门金财产业发展有限公司	389610040.0	19.02
0	000050.SZ	1	中航国际控股有限公司	291567326.0	14.24
0	000050.SZ	2	中国航空技术深圳有限公司	179516146.0	8.76
0	000050.SZ	3	中国航空技术国际控股有限公司	172097332.0	8.4
0	000050.SZ	4	湖北省科技投资集团有限公司	125677831.0	6.14
0	000050.SZ	5	马信琪	45196159.0	2.21
0	000050.SZ	6	武汉光谷新技术产业投资有限公司	43912470.0	2.14
0	000050.SZ	7	中国航空技术厦门有限公司	36525940.0	1.78
0	000050.SZ	8	深圳市通产集团有限公司	34476273.0	1.68
0	000050.SZ	9	香港中央结算有限公司(陆股通)	23707097.0	1.16
0	000055.SZ	0	深圳市邦林科技发展有限公司	114847854.0	10.22
0	000055.SZ	1	盛久投资有限公司	104127379.0	9.27
0	000055.SZ	2	方威	39372437.0	3.5
0	000055.SZ	3	共青城时利和投资管理合伙企业(有限合伙)	26791488.0	2.38
0	000055.SZ	4	VANGUARD EMERGING MARKETS STOCK INDEX FUND	7946483.0	0.71
0	000055.SZ	5	申万宏源证券(香港)有限公司	7253756.0	0.65
0	000055.SZ	6	SUN HUNG KAI INVESTMENT SERVICES LTD	6916495.0	0.62
0	000055.SZ	7	刘奇	6115600.0	0.54
0	000055.SZ	8	VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND	5911907.0	0.53
0	000055.SZ	9	曲春林	5557011.0	0.49
0	000056.SZ	0	深圳市皇庭产业控股有限公司	254696752.0	21.69
0	000056.SZ	1	深圳市皇庭投资管理有限公司	253939477.0	21.62
0	000056.SZ	2	苏州和瑞九鼎投资中心(有限合伙)	82164976.0	7.0
0	000056.SZ	3	百利亚太投资有限公司	72634060.0	6.18
0	000056.SZ	4	鍾志強	21576850.0	1.84
0	000056.SZ	5	霍孝谦	19940178.0	1.7
0	000056.SZ	6	BOCI SECURITIES LIMITED	15899444.0	1.35
0	000056.SZ	7	中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划	14479698.0	1.23
0	000056.SZ	8	皇庭国际集团有限公司	12655252.0	1.08
0	000056.SZ	9	陈巧玲	9810178.0	0.84
0	000058.SZ	0	深圳市赛格集团有限公司	700618759.0	56.7
0	000058.SZ	1	刘国成	7155802.0	0.58
0	000058.SZ	2	刘国洪	3318098.0	0.27
0	000058.SZ	3	吴宏伟	3180500.0	0.26
0	000058.SZ	4	龚茜华	2940000.0	0.24
0	000058.SZ	5	吴蔓楠	2838410.0	0.23
0	000058.SZ	6	LI SHERYN ZHAN MING	2301389.0	0.19
0	000058.SZ	7	中国证券金融股份有限公司	2271900.0	0.18
0	000058.SZ	8	林佩银	2131387.0	0.17
0	000058.SZ	9	徐月英	1946900.0	0.16
0	000059.SZ	0	北方华锦化学工业集团有限公司	514417536.0	32.16
0	000059.SZ	1	振华石油控股有限公司	158601100.0	9.92
0	000059.SZ	2	中兵投资管理有限责任公司	92400539.0	5.78
