uid	startnode	endnode	reportdate	order	ratio
e8987366bb314cd68e822c07ad6c5ec3	cbf2a845e0326bb8cd519ff9f9de2108	0e5a2313693c34c73e9add51e47ece69	2018.0	4.0	1.31
b02951664a19484a9772c5360a91d8fd	d844b61bdd56af0f718676c0d6fe81e0	cadd69a8ede28b10e8a66e25591eaf06	2019.0	5.0	2.37
25af0b76d6cc4926868e2b5f1e02a6ff	dd820567bc51f7e27f7b1571ad32a910	325dcf58730827e4c41adb5591d2682f	2018.0	4.0	4.07
04a99f936f334efa859b3b75b360a116	ddaa707c7f291aa742a9f3e9f7989a46	6fd3f4e0fbd5d8d94b19074e17f7df33	2019.0	1.0	7.91
98bcf47bc59747ea834f4339c70af2fd	de1864dfedd8adcefa7058daf9a02958	d916fbb947a1a8df01a1485c2e8525e8	2019.0	1.0	15.71
9f3c40daa179458ba462c436e71061a9	e514bdbe6bd0c46b6e38959c5d3ac241	63510ab2f362ae17049e60550f0b5c89	2019.0	4.0	2.54
681c8b5600e4463f92b0f322a93986d8	f062c848afcb54d77e425e3f079d7ab6	98117b85f5f999de2fdca5b0ca600e59	2019.0	4.0	2.45
988b3739a2dd4d94a81eb2e2712b2d5b	f2d2aa841f7fd5072ff87cb2dbca6f62	526021d6fee39a2c62d1b97119a641d3	2019.0	2.0	6.77
3ef7728027bb4be88368a6694a1ec704	f7c813d8ede5fa5af2c31ed53201a2b8	7a2b05efc94bdaff6959e0a82fdd1493	2019.0	4.0	3.96
bc3d3292be3e4522b701474b078f8752	f9fc845c255b2014f9bcb974395f3f0b	b12bd6a0c87ba7bf2d32dad41ad1671e	2019.0	5.0	1.4
2279530947f549e0b25db9a15fe9cd5a	0f0311a45b8dae7c72f2f3148aec9a25	c3cda340d13bb62439485a82cb355435	2019.0	3.0	4.22
a1487e8ded564523a9af0936ec049f96	17387f0e3485ff3e13a4ae944fa254f6	02d50465859d23ef3798068c833ffea7	2018.0	5.0	2.14
fba6c8fdd99d42658bf680389af59521	2d21898de6491447c0f783d29e19a3da	af6b348eaabb1e42494dd31aec6b987f	2019.0	4.0	2.16
09d0b62c92254170a9047210a2012443	2d5345328838d65cd0433d0495ebd4df	3835096234c6310709b35f2db2f9e7ae	2019.0	2.0	5.95
e82c9bfe718e49ac94bfe68d03d6f652	3f0f10af5c894c95e389f08361a73639	b41f06ca2a9c68dacfa9e080738ed2db	2019.0	4.0	1.65
daee1e6765f64a47981dce85afbc0d6f	44833ad5f5fd060831f13efef58fbff8	6a120dbea87e5bffdc35d7873b0d1c69	2019.0	4.0	4.48
f5b99b8733fa48beae7c50998a893a3e	44bc2f80ad749aff8a2e1d5fbaa70f4e	e545fc4f4e3678985c9bc34702d96b23	2019.0	4.0	6.34
b5a0525ac70e4373b57c4563e4a95fe8	498d3e688c6aca6156cf61e8ef31ede7	262d545715ff1027805eafcdcb50b1ea	2019.0	1.0	28.39
e381c3fcdcee4e08a736e975961dc499	4c5d45b90f428c4d2b91321957915eb7	ede0c9d89a811b82b8c0fee536571a98	2019.0	3.0	1.58
89f64be8943f488d91f4e3311f5d551c	4ca7178bfd7d2de03fd31fce612fdffc	819e78792a33bfdb874d921bcc10bb80	2019.0	3.0	5.38
7161a50d38494075bbcbdebe4e9516e5	5044740f1c2c5584953c534a21f08c7c	f603050227dcaa14d57965d5c29a99ce	2019.0	1.0	5.41
92fc190052e649ee80de32833a1311da	5c8dc7e2da27e337b6fbc4037f33cce2	b32e61fb11e80f941609540efc26e910	2019.0	5.0	2.33
419dbc298cc0489c9a824f8bd2bbd98e	5e22e7488c92c861a546b9814eaf2446	af1956a09d7db71d3f66e8d566cb5ed4	2019.0	2.0	5.2
b8e2d0c17eb544f7bb972d2db2840262	60b8ab90a279d731d7d6b2f337a6ffa9	a9ae3860aa1b424566af0829f4760446	2018.0	3.0	5.83
7bbb81f9757647e3ad336704aa4726e9	6147063ddab81e263316abb07d10780e	a321c9157c31c57c4dad325263a8b06a	2019.0	5.0	3.38
c488576f327e4e07a4e53d17098ab730	62292ff5def8a840752dc122d29e01f0	7cb0d0740fdb91a152cdab988fa28bc9	2019.0	1.0	8.44
d0876575566643b5b79f67e0905fc31d	68f682326a1082565b9854b63c689848	20af1114032c64bffd6513c96001f537	2019.0	1.0	5.91
90b419aeb5df4807b6dca8ea88417a0b	6ae44d6aa37d5e49de8c32a0cae444bc	466561d9c6bd8d9219b995eb749b70af	2019.0	4.0	2.99
ff0b1b3f1b9e4b53ac78dd2f4904b888	7443af622276675fd921fbf4fd64014b	ae8e3d3553c6b39c35fb63f3206784fa	2019.0	2.0	4.46
0b894d274ff246e6b620ddcb49fc3f5a	7bd3d9f17bc6be4debd66d5f7f64f7f7	1a09ed7466a65f8a9485210df534bc1c	2018.0	1.0	41.9
2015d549291045e1902fa6c7763dba63	7eae18e2b77bf2168eefd2f98fa77851	7ccc7f71d3dc506463fd26237c24ba6c	2019.0	4.0	5.66
1002903f255745ffae3feab8dd46267a	7ec2b463a993d34d8d561a0e9eb8f0db	739e71de2308db11d6d87a76adb04192	2017.0	1.0	4.88
b6d092f2e2844323abc0aca6c43df680	8b2d6de98dda109551869c8e5322afc1	5a42d79a03677bd738f5feae6554c127	2019.0	4.0	6.35
